Time (s),Velocity (m/s),Power (kW),Current (A)
61.40163256266506,14.261514197063999,16.05702911834783,59.84399639702558
61.41536743308068,14.261514197063999,16.05702911834783,59.84399639702558
61.42910230349631,14.261514197063999,16.05702911834783,59.84399639702558
61.442837173911926,14.261514197063999,16.05702911834783,59.84399639702558
61.45657204432755,14.261514197063999,16.05702911834783,59.84399639702558
61.470306914743176,14.261514197063999,16.05702911834783,59.84399639702558
61.484041785158794,14.261514197063999,16.05702911834783,59.84399639702558
61.49777665557442,14.261514197063999,16.05702911834783,59.84399639702558
61.511511525990045,14.261514197063999,16.05702911834783,59.84399639702558
61.52524639640566,14.261514197063999,16.05702911834783,59.84399639702558
61.53898126682129,14.261514197063999,16.05702911834783,59.84399639702558
61.552716137236914,14.261514197063999,16.05702911834783,59.84399639702558
61.56645100765254,14.261514197063999,16.05702911834783,59.84399639702558
61.58018587806816,14.261514197063999,16.05702911834783,59.84399639702558
61.59392074848378,14.261514197063999,16.05702911834783,59.84399639702558
61.60765561889941,14.261514197063999,16.05702911834783,59.84399639702558
61.621390489315026,14.261514197063999,16.05702911834783,59.84399639702558
61.63512535973065,14.261514197063999,16.05702911834783,59.84399639702558
61.648860230146276,14.261514197063999,16.05702911834783,59.84399639702558
61.662595100561894,14.261514197063999,16.05702911834783,59.84399639702558
61.67632997097752,14.261514197063999,16.05702911834783,59.84399639702558
61.69018222761899,14.019805518136115,0.0,-60.875737764063686
61.704278237231165,13.77246404134166,0.0,-61.96901307299298
61.71863150681443,13.521672432703454,0.0,-63.118375960730866
61.733255456676815,13.267266434101348,0.0,-64.32870014817307
61.733255456676815,13.267266434101348,0.0,-64.32870014817307
61.74331847131549,13.26726643410136,16.05702911834783,64.32870014817301
61.75338148595416,13.26726643410136,16.05702911834783,64.32870014817301
61.76344450059283,13.26726643410136,16.05702911834783,64.32870014817301
61.7735075152315,13.26726643410136,16.05702911834783,64.32870014817301
61.783570529870175,13.26726643410136,16.05702911834783,64.32870014817301
61.79363354450884,13.26726643410136,16.05702911834783,64.32870014817301
61.80369655914752,13.26726643410136,16.05702911834783,64.32870014817301
61.813759573786186,13.26726643410136,16.05702911834783,64.32870014817301
61.82382258842486,13.26726643410136,16.05702911834783,64.32870014817301
61.83388560306353,13.26726643410136,16.05702911834783,64.32870014817301
61.8439486177022,13.26726643410136,16.05702911834783,64.32870014817301
61.85401163234087,13.26726643410136,16.05702911834783,64.32870014817301
61.864074646979546,13.26726643410136,16.05702911834783,64.32870014817301
61.87413766161822,13.26726643410136,16.05702911834783,64.32870014817301
61.88420067625689,13.26726643410136,16.05702911834783,64.32870014817301
61.89426369089556,13.26726643410136,16.05702911834783,64.32870014817301
61.90432670553423,13.26726643410136,16.05702911834783,64.32870014817301
61.914389720172906,13.26726643410136,16.05702911834783,64.32870014817301
61.924452734811574,13.26726643410136,16.05702911834783,64.32870014817301
61.93451574945025,13.26726643410136,16.05702911834783,64.32870014817301
61.94457876408892,13.26726643410136,16.05702911834783,64.32870014817301
61.95464177872759,13.26726643410136,16.05702911834783,64.32870014817301
61.96470479336626,13.26726643410136,16.05702911834783,64.32870014817301
61.974767808004934,13.26726643410136,16.05702911834783,64.32870014817301
61.9848308226436,13.26726643410136,16.05702911834783,64.32870014817301
61.99489383728228,13.26726643410136,16.05702911834783,64.32870014817301
62.004956851920944,13.26726643410136,16.05702911834783,64.32870014817301
62.01501986655962,13.26726643410136,16.05702911834783,64.32870014817301
62.025082881198294,13.26726643410136,16.05702911834783,64.32870014817301
62.03514589583696,13.26726643410136,16.05702911834783,64.32870014817301
62.04520891047564,13.26726643410136,16.05702911834783,64.32870014817301
62.055271925114305,13.26726643410136,16.05702911834783,64.32870014817301
62.06533493975298,13.26726643410136,16.05702911834783,64.32870014817301
62.07539795439165,13.26726643410136,16.05702911834783,64.32870014817301
62.08546096903032,13.26726643410136,16.05702911834783,64.32870014817301
62.09552398366899,13.26726643410136,16.05702911834783,64.32870014817301
62.105586998307665,13.26726643410136,16.05702911834783,64.32870014817301
62.11565001294633,13.26726643410136,16.05702911834783,64.32870014817301
62.12571302758501,13.26726643410136,16.05702911834783,64.32870014817301
62.135776042223675,13.26726643410136,16.05702911834783,64.32870014817301
62.14583905686235,13.26726643410136,16.05702911834783,64.32870014817301
62.155902071501025,13.26726643410136,16.05702911834783,64.32870014817301
62.16596508613969,13.26726643410136,16.05702911834783,64.32870014817301
62.17602810077837,13.26726643410136,16.05702911834783,64.32870014817301
62.186091115417035,13.26726643410136,16.05702911834783,64.32870014817301
62.19615413005571,13.26726643410136,16.05702911834783,64.32870014817301
62.20621714469438,13.26726643410136,16.05702911834783,64.32870014817301
62.21628015933305,13.26726643410136,16.05702911834783,64.32870014817301
62.22634317397172,13.26726643410136,16.05702911834783,64.32870014817301
62.236406188610395,13.26726643410136,16.05702911834783,64.32870014817301
62.24646920324906,13.26726643410136,16.05702911834783,64.32870014817301
62.25653221788774,13.26726643410136,16.05702911834783,64.32870014817301
62.266595232526406,13.26726643410136,16.05702911834783,64.32870014817301
62.27665824716508,13.26726643410136,16.05702911834783,64.32870014817301
62.28672126180375,13.26726643410136,16.05702911834783,64.32870014817301
62.29678427644242,13.26726643410136,16.05702911834783,64.32870014817301
62.3068472910811,13.26726643410136,16.05702911834783,64.32870014817301
62.316910305719766,13.26726643410136,16.05702911834783,64.32870014817301
62.32697332035844,13.26726643410136,16.05702911834783,64.32870014817301
62.33703633499711,13.26726643410136,16.05702911834783,64.32870014817301
62.34709934963578,13.26726643410136,16.05702911834783,64.32870014817301
62.35716236427445,13.26726643410136,16.05702911834783,64.32870014817301
62.367225378913126,13.26726643410136,16.05702911834783,64.32870014817301
62.377288393551794,13.26726643410136,16.05702911834783,64.32870014817301
62.38735140819047,13.26726643410136,16.05702911834783,64.32870014817301
62.39741442282914,13.26726643410136,16.05702911834783,64.32870014817301
62.40747743746781,13.26726643410136,16.05702911834783,64.32870014817301
62.41754045210648,13.26726643410136,16.05702911834783,64.32870014817301
62.427603466745154,13.26726643410136,16.05702911834783,64.32870014817301
62.43766648138383,13.26726643410136,16.05702911834783,64.32870014817301
62.4477294960225,13.26726643410136,16.05702911834783,64.32870014817301
62.45779251066117,13.26726643410136,16.05702911834783,64.32870014817301
